book_rating,book_title,kindle_price
4.4 out of 5 stars,Curse of Shadows and Thorns: A dark fairy tale romance (The Broken Kingdoms Book 1),$0.00
4.3 out of 5 stars,The Omega Factor,$14.99
4.8 out of 5 stars,Codename: Freedom - Vanguard,$0.00
4.5 out of 5 stars,Fly Away: A Novel (Firefly Lane Book 2),$0.00
4.6 out of 5 stars,Slow-Mo (Bob and Nikki Book 29),$0.00
4.2 out of 5 stars,The Family Game: A Novel,$13.99
4.5 out of 5 stars,Mine To Hold (Southern Weddings Book 2),$4.99
4.5 out of 5 stars,The School for Good and Evil: Now a Netflix Originals Movie,$8.99
4.5 out of 5 stars,Liberation Day: Stories,$13.99
4.3 out of 5 stars,Do Not Disturb: An addictive psychological thriller,$0.00
4.6 out of 5 stars,Dirty Crazy Bad: A Reverse Harem Romance (Dirty Crazy Bad Duet Book 1),$0.00
4.8 out of 5 stars,Saving Supervillains 3,$0.00
4.5 out of 5 stars,The Unhoneymooners,$10.99
4.6 out of 5 stars,A Time for Mercy (Jake Brigance Book 3),$9.99
4.9 out of 5 stars,The Great Reset: And the War for the World,$14.99
4.1 out of 5 stars,The New Royals: Queen Elizabeth's Legacy and the Future of the Crown,$15.99
4.6 out of 5 stars,Flawed: Mafia Wars New York,$0.00
4.4 out of 5 stars,Marple: Twelve New Mysteries (Miss Marple Mysteries),$14.99
4.1 out of 5 stars,Quicksilver,$0.00
4.4 out of 5 stars,The Overstory: A Novel,$10.74
4.8 out of 5 stars,Zombie Wolf of Piston (Wolves of Piston Book 1),$0.00
4.5 out of 5 stars,Beauty and the Baller,$0.00
4.7 out of 5 stars,The Book of Lost Names,$12.99
4.3 out of 5 stars,The Atlas Six (Atlas Series Book 1),$9.99
4.7 out of 5 stars,Savage Webs: A LitRPG Cultivation Series (Apocalypse Cultivation Book 2),$0.00
4.6 out of 5 stars,The Escape Artist: The Man Who Broke Out of Auschwitz to Warn the World,$14.99
4.5 out of 5 stars,Flock (The Ravenhood Book 1),$0.00
4.7 out of 5 stars,The Power of Now: A Guide to Spiritual Enlightenment,$7.13
4.2 out of 5 stars,Mercury Pictures Presents: A Novel,$13.99
4.7 out of 5 stars,All Is Bright: A Christmas Romance,$11.99
4.4 out of 5 stars,Eyes on Me (Salacious Players' Club),$0.00
4.3 out of 5 stars,The Sentence,$13.49
4.6 out of 5 stars,The Water Keeper (A Murphy Shepherd Novel Book 1),$12.99
4.5 out of 5 stars,Adrift: America in 100 Charts,$15.99
4.4 out of 5 stars,Brutal Prince: An Enemies To Lovers Mafia Romance (Brutal Birthright Book 1),$0.00
4.6 out of 5 stars,'Salem's Lot,$9.99
4.7 out of 5 stars,All for All (Cast Adrift Book 3),$3.99
4.4 out of 5 stars,"From Strength to Strength: Finding Success, Happiness, and Deep Purpose in the Second Half of Life",$13.99
4.6 out of 5 stars,The Hawthorne Legacy (The Inheritance Games Book 2),$8.99
4.7 out of 5 stars,The Untethered Soul: The Journey Beyond Yourself,$9.99
4.8 out of 5 stars,Accord (Binding Words Book 9),$0.00
4.6 out of 5 stars,Angel of Death: A Hidden Norfolk thriller (Book 12),$0.00
4.4 out of 5 stars,The Good Sister: A Novel,$0.00
4.7 out of 5 stars,He Who Fights with Monsters 4: A LitRPG Adventure,$0.00
4.5 out of 5 stars,The Sweetness of Forgetting: A Book Club Recommendation!,$1.99
4.6 out of 5 stars,"Year One: Chronicles of The One, Book 1",$8.99
4.4 out of 5 stars,All He'll Ever Be (Merciless World Series Book 1),$9.99
3.8 out of 5 stars,The Goddess Effect: A Novel,$0.00
4.6 out of 5 stars,A Kingdom of Ruin (Deliciously Dark Fairytales Book 3),$0.00
4.6 out of 5 stars,Biergarten of the Damned (Sam Quinn Book 5),$4.99
4.8 out of 5 stars,He Who Fights with Monsters 2: A LitRPG Adventure,$0.00
4.8 out of 5 stars,Glacier's Edge (The Way of the Drow Book 2),$14.99
4.3 out of 5 stars,The Sentinel: A Jack Reacher Novel,$9.99
4.6 out of 5 stars,The Giver of Stars: A Novel,$9.99
4.8 out of 5 stars,"The Outlander Series Bundle: Books 1, 2, 3, and 4: Outlander, Dragonfly in Amber, Voyager, Drums of Autumn (Outlander Bundle)",$32.99
4.4 out of 5 stars,The Devil in the White City: A Saga of Magic and Murder at the Fair that Changed America,$13.99
4.4 out of 5 stars,Maybe Not: A Novella (Maybe Someday Book 2),$7.99
4.4 out of 5 stars,Station Eleven: A novel,$11.99
4.4 out of 5 stars,Ryan Rule: New York Ruthless Book 1,$0.00
4.7 out of 5 stars,The Primal Hunter 2: A LitRPG Adventure,$0.00
4.4 out of 5 stars,The Gray Man (A Gray Man Novel Book 1),$9.99
4.5 out of 5 stars,Ruthless Creatures (Queens & Monsters Book 1),$0.00
4.4 out of 5 stars,The Fine Print (Dreamland Billionaires Book 1),$0.00
4.6 out of 5 stars,Command Authority (The Last Hunter Book 5),$0.00
4.4 out of 5 stars,Punk 57,$0.00
4.6 out of 5 stars,Think Again: The Power of Knowing What You Don't Know,$14.99
4.3 out of 5 stars,The Beach House (South Carolina Sunsets Book 1),$3.99
4.6 out of 5 stars,SOLACE HOUSE a gripping crime thriller full of stunning twists (JACKMAN & EVANS Book 9),$0.00
4.4 out of 5 stars,Eyes of the Void (The Final Architecture Book 2),$14.99
4.4 out of 5 stars,The Night She Disappeared: A Novel,$13.99
4.6 out of 5 stars,Heart Bones: A Novel,$11.99
4.3 out of 5 stars,The Ministry for the Future: A Novel,$9.99
4.6 out of 5 stars,Clive Cussler's Dark Vector (The NUMA Files Book 19),$14.99
4.6 out of 5 stars,The Priory of the Orange Tree (The Roots of Chaos),$9.99
4.7 out of 5 stars,Bridgerton Collection Volume 2: Books Four-Six in the Bridgerton Series (Bridgertons),$19.99
4.8 out of 5 stars,Help Is Here: Finding Fresh Strength and Purpose in the Power of the Holy Spirit,$13.99
4.7 out of 5 stars,Blood Bonds (The Bonds that Tie Book 3),$0.00
4.6 out of 5 stars,When He Was Wicked: Bridgerton (Bridgertons Book 6),$7.99
4.8 out of 5 stars,Bash: Wolf Warriors MC,$0.00
4.6 out of 5 stars,"To Sir Phillip, With Love: Bridgerton (Bridgertons Book 5)",$7.99
4.5 out of 5 stars,Addiction (The Hunted Series Book 2),$0.00
4.6 out of 5 stars,The Keeper of Happy Endings,$0.00
4.3 out of 5 stars,Life on the Mississippi: An Epic American Adventure,$13.99
4.7 out of 5 stars,"The Love Prescription: Seven Days to More Intimacy, Connection, and Joy (The Seven Days Series Book 1)",$11.99
4.8 out of 5 stars,The Shining,$9.99
4.7 out of 5 stars,Be the Serpent (October Daye Book 16),$14.99
4.7 out of 5 stars,Trouble Play: A Paranormal Women's Fiction Novel (Vista De Lirio Mysteries Book 3),$0.00
4.7 out of 5 stars,Flare (Steel Brothers Saga Book 23),$7.99
4.8 out of 5 stars,To Kill a Mockingbird (Harperperennial Modern Classics),$12.49
4.1 out of 5 stars,The Wife Upstairs: A Novel,$0.00
4.5 out of 5 stars,The Homewreckers: A Novel,$14.99
4.4 out of 5 stars,A Duel with the Vampire Lord (Married to Magic),$0.00
4.5 out of 5 stars,Her Dragon Daddy: A Secret Baby Paranormal Romance,$0.00
4.5 out of 5 stars,Psycho Shifters (Cruel Shifterverse Book 1),$0.00
4.3 out of 5 stars,"For Your Eyes Only: A forbidden, billionaire romance. (Blurred Lines)",$0.00
4.7 out of 5 stars,Devil's Kiss: A Dark Mafia Arranged Marriage Romance,$0.00
4.6 out of 5 stars,Captured By A Sinner (The Sinners Series),$0.00
4.7 out of 5 stars,Leviathan Wakes (The Expanse Book 1),$9.99
4.5 out of 5 stars,The Spare Man,$12.99
4.5 out of 5 stars,Die Trying (Jack Reacher Book 2),$9.99
4.3 out of 5 stars,After I Do: A Novel,$10.99
4.1 out of 5 stars,Gild (The Plated Prisoner Series Book 1),$0.00
4.3 out of 5 stars,The Idea of You: A Novel,$11.99
4.6 out of 5 stars,Psycho Fae: Enemies to Lovers Romance (Cruel Shifterverse Book 2),$0.00
4.6 out of 5 stars,Fifty Shades Trilogy Bundle: Fifty Shades of Grey; Fifty Shades Darker; Fifty Shades Freed,$15.99
3.8 out of 5 stars,The Flock: A Thriller,$0.00
4.4 out of 5 stars,One Bossy Proposal: An Enemies to Lovers Romance,$0.00
4.7 out of 5 stars,Tragic Bonds (The Bonds that Tie Book 5),$0.00
4.6 out of 5 stars,"The Secret Life Of Sunflowers: A gripping, inspiring novel based on the true story of Johanna Bonger, Vincent van Gogh's sister-in-law",$7.99
4.2 out of 5 stars,Not a Happy Family: A Novel,$11.99
4.6 out of 5 stars,The Words: An Enemies-to-Lovers Standalone Romance,$0.00
4.6 out of 5 stars,Smart Brevity: The Power of Saying More with Less,$13.99
4.7 out of 5 stars,1984,$2.99
4.5 out of 5 stars,Gideon the Ninth (The Locked Tomb Series Book 1),$0.00
4.5 out of 5 stars,The Cruel Prince (The Folk of the Air Book 1),$10.99
4.5 out of 5 stars,The Perfect Son: A gripping psychological thriller with a breathtaking twist,$0.00
4.4 out of 5 stars,The Years,$15.99
4.4 out of 5 stars,The Wife Upstairs: A twisted psychological thriller that will keep you guessing,$0.00
4.4 out of 5 stars,When in Rome: A Novel,$7.99
4.5 out of 5 stars,The Fifth Season (The Broken Earth Book 1),$9.99
4.3 out of 5 stars,Fierce King: An Enemies to Lovers Romance (L.A. Ruthless Series Book 1),$0.00
4.6 out of 5 stars,The Guarded One (Falcon Falls Security),$0.00
4.2 out of 5 stars,Pesos: The Rise and Fall of a Border Family,$4.99
4.6 out of 5 stars,Happy-Go-Lucky,$14.99
4.5 out of 5 stars,Secrets: A Thrilling Novel of Suspense (A Lost and Found Novel Book 2),$2.99
4.3 out of 5 stars,In Five Years: A Novel,$12.99
4.9 out of 5 stars,Letter to the American Church,$14.99
4.3 out of 5 stars,The Saints of Swallow Hill: A Fascinating Depression Era Historical Novel,$8.27
4.1 out of 5 stars,The Last to Vanish: A Novel,$14.99
4.4 out of 5 stars,These Twisted Bonds (These Hollow Vows Book 2),$9.99
4.4 out of 5 stars,The Paris Library: A Novel,$13.99
4.6 out of 5 stars,Into the Storm (Evidence: Under Fire Book 1),$5.99
4.7 out of 5 stars,Magic Lessons: The Prequel to Practical Magic,$12.99
4.8 out of 5 stars,Memories Are Murder (Merry Wrath Mysteries Book 24),$5.99
4.7 out of 5 stars,Back Blast (A Gray Man Novel Book 5),$9.99
4.6 out of 5 stars,House of Beating Wings (The Kingdom of Crows Book 1),$0.00
4.6 out of 5 stars,Four Thousand Weeks: Time Management for Mortals,$14.99
4.4 out of 5 stars,Killer Smile (Stella Knox FBI Mystery Series Book 1),$0.00
4.7 out of 5 stars,"Lightning Thief, The (Percy Jackson and the Olympians, Book 1)",$6.99
4.5 out of 5 stars,My Sister's Grave (Tracy Crosswhite Book 1),$0.00
4.3 out of 5 stars,The Reed Ferguson Series Boxset Collection: 9 full length novels + 3 bonus novellas (Humorous P.I. Mystery Anthologies Book 1),$0.00
4.6 out of 5 stars,Firefly Lane: A Novel,$9.99
4.4 out of 5 stars,The Lies I Tell: A Novel,$8.54
4.6 out of 5 stars,Killer Spirit (Stella Knox FBI Mystery Series Book 4),$0.00
4.6 out of 5 stars,Tripwire (Jack Reacher Book 3),$9.99
4.6 out of 5 stars,Magic Hour: A Novel,$8.99
4.4 out of 5 stars,Shy: The Alarmingly Outspoken Memoirs of Mary Rodgers,$16.99
4.5 out of 5 stars,State of Terror: A Novel,$13.99
4.5 out of 5 stars,A Touch of Ruin (Hades X Persephone Book 2),$5.24
4.7 out of 5 stars,Savage Bonds (The Bonds that Tie Book 2),$0.00
4.4 out of 5 stars,Violeta [English Edition]: A Novel,$11.99
4.7 out of 5 stars,Maggie Moves On,$9.99
4.5 out of 5 stars,When She Unravels: A Dark Mafia Romance (The Fallen Book 1),$0.00
4.6 out of 5 stars,The Primal Hunter: A LitRPG Adventure,$0.00
4.7 out of 5 stars,Gunmetal Gray (Gray Man Book 6),$9.99
4.2 out of 5 stars,The Younger Wife: A Novel,$14.99
4.6 out of 5 stars,Shattered Sea (The Tattered & Torn Series Book 4),$4.99
4.5 out of 5 stars,The Long Way Home: A Chief Inspector Gamache Novel (A Chief Inspector Gamache Mystery Book 10),$11.99
4.3 out of 5 stars,Night over Water,$11.99
4.4 out of 5 stars,The Boardwalk Bookshop: A 2022 Beach Read,$12.99
4.3 out of 5 stars,Bound to the Fae - Books 1-3: Wolves of Summer (Bound to the Fae Box Sets Book 1),$0.00
4.7 out of 5 stars,"Outlander: A Novel (Outlander, Book 1)",$5.99
4.1 out of 5 stars,Megathreats,$14.99
4.3 out of 5 stars,One By One: An unputdownable psychological thriller,$0.00
4.5 out of 5 stars,The Henna Artist: A Novel (The Jaipur Trilogy Book 1),$12.99
4.7 out of 5 stars,101 Essays That Will Change The Way You Think,$9.99
4.6 out of 5 stars,The Boss Project,$3.99
4.5 out of 5 stars,The Druid (The Dawning of Muirwood Book 1),$0.00
4.6 out of 5 stars,"A Discovery of Witches: A Novel (All Souls Trilogy, Book 1)",$12.99
4.5 out of 5 stars,The Sweetest Oblivion (Made Book 1),$0.00
4.7 out of 5 stars,"Eight 2: The Way of the Hunter, A LitRPG Adventure",$0.00
4.7 out of 5 stars,The Things We Cannot Say: A WWII Historical Fiction Novel,$11.99
4.9 out of 5 stars,The Return Of The King: Being the Third Part of the Lord of the Rings,$11.99
4.7 out of 5 stars,Broken Bonds (The Bonds that Tie Book 1),$0.00
4.7 out of 5 stars,Forced Bonds (The Bonds that Tie Book 4),$0.00
4.2 out of 5 stars,The Dragon's Bride (A Deal With A Demon Book 1),$0.00
4.7 out of 5 stars,Before We Were Yours: A Novel,$13.99
4.6 out of 5 stars,"Freezing Order: A True Story of Money Laundering, Murder, and Surviving Vladimir Putin's Wrath",$14.99
4.4 out of 5 stars,One and Done: A Legal Thriller (Sam Johnstone Book 2),$0.00
4.5 out of 5 stars,Silence: A LitRPG Adventure (Unbound Book 2),$0.00
4.3 out of 5 stars,Pleasing Mr. Parker: A steamy grumpy boss romance (The Men Series - Interconnected Standalone Romances Book 5),$0.00
4.5 out of 5 stars,Killing the Killers: The Secret War Against Terrorists (Bill O'Reilly's Killing Series),$14.99
4.7 out of 5 stars,Dance of Kings and Thieves: a dark fantasy romance (The Broken Kingdoms Book 6),$0.00
4.6 out of 5 stars,Tom Clancy Chain of Command (A Jack Ryan Novel Book 21),$9.99
4.4 out of 5 stars,Pets in Space 7: A Science Fiction Romance Anthology,$4.99
4.5 out of 5 stars,Golden Girl,$9.99
4.4 out of 5 stars,Drift (Rachel Hatch Book 1),$0.00
4.5 out of 5 stars,Sweetest Obsession,$0.00
4.5 out of 5 stars,St. Patrick's Cross (Larry Macklin Mysteries Book 18),$0.00
4.4 out of 5 stars,Court of Ravens and Ruin: A Brides of Mist and Fae Novel (The Shadow Bound Queen Book 1),$0.00
4.6 out of 5 stars,Kings of Underland: A Bride for Beasts,$0.00
4.5 out of 5 stars,Fling,$0.00
4.8 out of 5 stars,"The Daily Stoic: 366 Meditations on Wisdom, Perseverance, and the Art of Living",$11.99
4.8 out of 5 stars,"A Storm of Swords (A Song of Ice and Fire, Book 3)",$9.99
4.8 out of 5 stars,Grace: President Obama and Ten Days in the Battle for America,$15.99
4.8 out of 5 stars,It's A Hard-Knock Midlife: A Paranormal Women's Fiction Novel: Good To The Last Death Book Eight,$0.00
4.6 out of 5 stars,Dirty Daddies 2022 Anniversary Anthology,$0.00
4.7 out of 5 stars,Relentless (Gray Man Book 10),$9.99
4.7 out of 5 stars,Master and Apprentices: Rise of the Cheat Potion Maker #2,$0.00
4.3 out of 5 stars,The Wife Between Us: A Novel,$0.00
4.4 out of 5 stars,Brutal Intentions: A Standalone Mafia Enemies to Lovers Romance (Brutal Hearts Book 1),$0.00
4.8 out of 5 stars,"Battle of the Labyrinth, The (Percy Jackson and the Olympians, Book 4)",$6.99
4.8 out of 5 stars,Harry Potter and the Chamber of Secrets,$0.00
4.6 out of 5 stars,Quit: The Power of Knowing When to Walk Away,$15.99
4.2 out of 5 stars,Shattered Vows: An Arranged Marriage Standalone Romance,$0.00
4.6 out of 5 stars,Silent Vows: A Mafia Arranged Marriage Romance (The Byrne Brothers Book 1),$4.99
4.4 out of 5 stars,No More Secrets: A Small Town Love Story (Blue Moon Book 1),$0.00
4.7 out of 5 stars,Beneath the Dragoneye Moons: New Horizons,$4.99
4.7 out of 5 stars,Winged Wolf Vet (Shifter Vets Book 3),$0.00
4.5 out of 5 stars,A Fatal Grace: A Chief Inspector Gamache Novel (A Chief Inspector Gamache Mystery Book 2),$0.00
4.3 out of 5 stars,The Push: A Novel,$11.99
4.7 out of 5 stars,The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),$7.74
4.6 out of 5 stars,Take My Hand,$14.99
4.8 out of 5 stars,"The Mark of Athena (The Heroes of Olympus, Book 3)",$7.99
4.6 out of 5 stars,Red Rising (Red Rising Series Book 1),$5.99
4.8 out of 5 stars,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",$19.99
4.6 out of 5 stars,The Evening and the Morning: A Novel (Kingsbridge Book 4),$7.99
4.8 out of 5 stars,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",$6.99
4.6 out of 5 stars,Satin Princess (Stepanov Bratva Book 2),$0.00
4.6 out of 5 stars,The Beautiful Mystery: A Chief Inspector Gamache Novel (A Chief Inspector Gamache Mystery Book 8),$11.99
4.7 out of 5 stars,Ocean Prey (A Prey Novel Book 31),$9.99
4.8 out of 5 stars,The Son of Neptune (The Heroes of Olympus Book 2),$7.99
4.5 out of 5 stars,Heartbreaker: A Hell's Belles Novel,$5.99
4.7 out of 5 stars,Broken Wings (Open Road Series Book 3),$4.99
4.6 out of 5 stars,Exodus (The Ravenhood Book 2),$0.00
4.7 out of 5 stars,Beneath a Scarlet Sky: A Novel,$0.00
4.3 out of 5 stars,The Perfect Child,$0.00
4.5 out of 5 stars,Dark Matter: A Novel,$13.99
4.7 out of 5 stars,Dead Eye (A Gray Man Novel Book 4),$9.99
4.4 out of 5 stars,False Evidence: A Legal Thriller (Sam Johnstone Book 3),$0.00
4.6 out of 5 stars,"Prisoners of the Castle: An Epic Story of Survival and Escape from Colditz, the Nazis' Fortress Prison",$13.99
4.3 out of 5 stars,The Secret Roommate: An Enemies to Lovers Romance,$0.00
4.4 out of 5 stars,The Dark King (Deviant Kings Book 1),$7.99
4.0 out of 5 stars,The Resort: A completely addictive and gripping psychological thriller with a heart-stopping twist,$0.00
4.6 out of 5 stars,It's In His Kiss: Bridgerton (Bridgertons Book 7),$7.99
4.4 out of 5 stars,To Sleep in a Sea of Stars,$0.00
4.5 out of 5 stars,A Touch of Malice (Hades X Persephone Book 3),$5.24
4.5 out of 5 stars,The Wild One: A Small Town Best Friend's Brother Romance (The Wild Westbrooks Series),$0.00
4.5 out of 5 stars,The Wedding Dress Sewing Circle: A Novel,$13.99
4.6 out of 5 stars,On the Way to the Wedding: Bridgerton (Bridgertons Book 8),$7.99
4.7 out of 5 stars,Blackest Ocean (Backyard Starship Book 8),$0.00
4.3 out of 5 stars,The Christie Affair: A Novel,$14.99
4.8 out of 5 stars,"The House of Hades (The Heros of Olympus, Book 4)",$7.99
4.6 out of 5 stars,The Extraordinary Life of Sam Hell: A Novel,$0.00
4.5 out of 5 stars,A Woman of No Importance: The Untold Story of the American Spy Who Helped Win World War II,$10.99
4.6 out of 5 stars,"Red, White & Royal Blue: A Novel",$10.99
4.5 out of 5 stars,The Broken One (Falcon Falls Security),$0.00
4.5 out of 5 stars,Sugar and Salt: A Novel,$12.99
4.5 out of 5 stars,Lesser Evil,$0.00
4.6 out of 5 stars,Ballistic (A Gray Man Novel Book 3),$9.99
4.6 out of 5 stars,Point of Retreat: A Novel (Slammed Book 2),$11.99
4.7 out of 5 stars,Radiant Darkness: Darkstar Mercenaries Book 7,$0.00
4.7 out of 5 stars,A New Orleans Virgin & A Hood Millionaire 2,$0.00
4.5 out of 5 stars,Falling Stars: A Festive and Fun Holiday Story,$9.41
4.8 out of 5 stars,Losers: Part I,$3.99
4.4 out of 5 stars,Satin Sinner (Stepanov Bratva Book 1),$0.00
4.4 out of 5 stars,The Lost Letters of Ireland: A heart-warming and unforgettable Irish romance (Starlight Cottages Book 5),$4.99
4.7 out of 5 stars,Agent in Place (Gray Man Book 7),$9.99
4.6 out of 5 stars,The Sandman (John Milton Series Book 21),$0.00
4.5 out of 5 stars,Midnight Sun (The Twilight Saga),$11.99
4.3 out of 5 stars,"The Biggest Ideas in the Universe: Space, Time, and Motion",$12.99
3.4 out of 5 stars,Getting Lost,$12.99
4.7 out of 5 stars,The Nature of the Beast: A Chief Inspector Gamache Novel,$11.99
4.5 out of 5 stars,The Worst Best Man,$0.00
4.3 out of 5 stars,A Curse of Queens (The Kingmaker Chronicles Book 4),$7.99
4.8 out of 5 stars,Meditations: A New Translation (Modern Library),$7.99
4.5 out of 5 stars,The Last Restaurant in Paris: Completely heartbreaking and gripping World War 2 fiction,$0.00
4.4 out of 5 stars,The Candid Life of Meena Dave,$0.00
4.7 out of 5 stars,Purposefully Accidental,$7.99
4.2 out of 5 stars,The Southern Lawyer: An Epic Legal Thriller (Joe Hennessy Legal Thriller Series Book 1),$0.00
4.5 out of 5 stars,Fall into Temptation: A Small Town Love Story (Blue Moon Book 2),$0.00
4.6 out of 5 stars,The Magpie Key (Crow Investigations Book 8),$4.99
4.8 out of 5 stars,The Return: TRUMP'S BIG 2024 COMEBACK,$14.99
4.2 out of 5 stars,Memories of Mistletoe: A Small Town Grumpy Sunshine Holiday Romance (Winterville Book 4),$0.00
4.5 out of 5 stars,Secrets of the Nile: A Lady Emily Mystery (Lady Emily Mysteries Book 16),$14.99
4.5 out of 5 stars,Star Cursed (Zodiac Wolves Book 2),$0.00
4.5 out of 5 stars,Betrayed in Shadow: A Cassie Quinn Mystery,$0.00
4.6 out of 5 stars,"Interview with the Vampire (The Vampire Chronicles, Book 1)",$8.99
4.6 out of 5 stars,Look Closer,$14.99
4.7 out of 5 stars,Network Effect: A Murderbot Novel (The Murderbot Diaries Book 5),$0.00
4.5 out of 5 stars,Back of Beyond: A Cody Hoyt Novel (Cassie Dewell Novels Book 1),$0.00
4.3 out of 5 stars,Fix Her Up: A Novel,$12.99
4.5 out of 5 stars,Dune Messiah,$9.99
4.8 out of 5 stars,The Chronicles of Narnia Complete 7-Book Collection: All 7 Books Plus Bonus Book: Boxen,$39.99
4.5 out of 5 stars,Stolen By A Sinner (The Sinners Series),$0.00
4.5 out of 5 stars,Taken By A Sinner (The Sinners Series),$0.00
4.9 out of 5 stars,$100M Offers: How To Make Offers So Good People Feel Stupid Saying No,$0.99
4.4 out of 5 stars,Path Lit by Lightning: The Life of Jim Thorpe,$16.99
4.5 out of 5 stars,City of the Dead: An Alex Delaware Novel,$14.99
4.6 out of 5 stars,Bad Luck and Trouble: A Jack Reacher Novel,$8.99
4.5 out of 5 stars,The Russian (Spy Thriller Book 2),$0.00
4.6 out of 5 stars,Part of Your World,$10.99
4.9 out of 5 stars,"The Outlander Series Bundle: Books 5, 6, 7, and 8: The Fiery Cross, A Breath of Snow and Ashes, An Echo in the Bone, Written in My Own Heart's Blood (Outlander Bundle Book 2)",$38.99
4.4 out of 5 stars,Bow Before the Elf Queen,$0.00
4.4 out of 5 stars,"Bared to You (Crossfire, Book 1)",$3.99
4.5 out of 5 stars,The Irish Boarding House: Completely heart-warming Irish historical fiction,$0.00
4.2 out of 5 stars,Chasing Us: A Second Chance Love Triangle (Dark Love Series Book 2),$0.00
4.4 out of 5 stars,King of Battle and Blood (Adrian X Isolde Book 1),$5.24
4.4 out of 5 stars,The Broker: A Novel,$9.99
4.8 out of 5 stars,The 1619 Project: A New Origin Story,$11.99
4.5 out of 5 stars,The German Wife: A Novel,$12.99
4.8 out of 5 stars,Mother of Learning: ARC 3,$5.99
4.5 out of 5 stars,On Target (A Gray Man Novel Book 2),$5.99
4.1 out of 5 stars,The Lioness: A Novel,$14.99
4.7 out of 5 stars,Single Dads Club: A Contemporary Reverse Harem Romance,$0.00
4.3 out of 5 stars,The Change: A Novel,$14.99
4.4 out of 5 stars,The Storied Life of A. J. Fikry: A Novel,$0.00
4.7 out of 5 stars,Warrior Fae (Ruthless Boys of the Zodiac Book 5),$0.00
4.6 out of 5 stars,The Affair: A Jack Reacher Novel,$9.99
4.5 out of 5 stars,Murder on Board: A totally gripping cozy mystery (A Miss Underhay Mystery Book 10),$0.00
4.6 out of 5 stars,Back to the Garden: A Novel,$13.99
4.4 out of 5 stars,Fresh Water for Flowers: A Novel,$9.99
4.5 out of 5 stars,A Little Pinprick (Rainey Paxton Series Book 1),$0.00
4.4 out of 5 stars,Killer Shot (Stella Knox FBI Mystery Series Book 3),$0.00
4.5 out of 5 stars,Glint (The Plated Prisoner Series Book 2),$0.00
4.4 out of 5 stars,Brain Damage: A twisted psychological thriller that will keep you guessing,$0.00
4.4 out of 5 stars,Death at Paradise Palms (The Retired Detectives Club Book 2),$0.00
4.8 out of 5 stars,Cruz Control (Justice Chronicles),$0.00
4.7 out of 5 stars,Caliban's War (The Expanse Book 2),$9.99
4.7 out of 5 stars,Sanibel Sunsets (Shellseeker Beach Book 6),$0.00
4.5 out of 5 stars,Terms and Conditions (Dreamland Billionaires Book 2),$0.00
4.8 out of 5 stars,Extreme Ownership: How U.S. Navy SEALs Lead and Win,$14.99
4.3 out of 5 stars,Unmissing: A Thriller,$0.00
4.5 out of 5 stars,The Blade Itself (The First Law Trilogy Book 1),$9.99
4.5 out of 5 stars,Without a Hitch: A Grumpy Billionaire Romantic Comedy,$0.00
4.4 out of 5 stars,The Deserter: A Novel (Scott Brodie Series),$12.99
4.6 out of 5 stars,The Testaments: A Novel,$11.99
4.8 out of 5 stars,Glucose Revolution: The Life-Changing Power of Balancing Your Blood Sugar,$14.99
4.6 out of 5 stars,28 Summers,$12.99
4.3 out of 5 stars,Pretty Girls: A Novel,$9.99
4.6 out of 5 stars,The Locked Room: A Mystery (Ruth Galloway Mysteries Book 14),$13.99
4.5 out of 5 stars,The Finish Line (The Ravenhood Book 3),$0.00
4.6 out of 5 stars,The Huntress: A Novel,$10.99
4.4 out of 5 stars,Slouching Towards Utopia: An Economic History of the Twentieth Century,$19.99
4.8 out of 5 stars,Ep.#3.4 - Not The Hill We Die On (The Frontiers Saga - Part 3: Fringe Worlds Book 4),$0.00
4.5 out of 5 stars,Shards of Earth (The Final Architecture Book 1),$9.99
4.5 out of 5 stars,The Trouble With Secrets: The Kilteegan Bridge Story,$0.00
4.5 out of 5 stars,"Of Boys and Men: Why the Modern Male Is Struggling, Why It Matters, and What to Do about It",$9.99
4.8 out of 5 stars,The 5 Love Languages: The Secret to Love that Lasts,$7.19
4.7 out of 5 stars,The Law: A Dresden Files Novella,$0.00
4.6 out of 5 stars,DASH: Rushing the Play (The Boston Tomcats Book 2),$0.00
4.4 out of 5 stars,Local Hero,$2.99
4.7 out of 5 stars,Dark Gambit The Pawn (The Children Of The Gods Paranormal Romance Book 65),$0.00
4.6 out of 5 stars,"The Memory Box: A beautiful, timeless, absolutely heartbreaking love story and World War Two historical fiction",$0.99
4.1 out of 5 stars,The Last Housewife: A Novel,$8.54
4.7 out of 5 stars,Mission Critical (Gray Man Book 8),$9.99
4.3 out of 5 stars,A Will and a Way,$6.99
4.4 out of 5 stars,The Goal (Off-Campus Book 4),$4.99
4.8 out of 5 stars,Come As You Are: Revised and Updated: The Surprising New Science That Will Transform Your Sex Life,$0.00
4.8 out of 5 stars,"Titan's Curse, The (Percy Jackson and the Olympians, Book 3)",$6.99
4.5 out of 5 stars,A Father's Story,$9.99
