book_rating,book_title,kindle_price
4.5 out of 5 stars,Love on the Brain,$10.99
4.6 out of 5 stars,Finding Carly (SEAL Team Hawaii Book 5),$4.99
4.9 out of 5 stars,A Court of Thorns and Roses eBook Bundle: A 5 Book Bundle,$37.99
4.5 out of 5 stars,Overkill,$14.99
4.8 out of 5 stars,Soul Taken (A Mercy Thompson Novel Book 13),$13.99
4.5 out of 5 stars,A Court of Frost and Starlight (A Court of Thorns and Roses Book 4),$7.17
4.3 out of 5 stars,The Midnight Library: A Novel,$8.99
4.8 out of 5 stars,The Lord Of The Rings: One Volume,$15.99
4.5 out of 5 stars,Runaway Groomsman,$0.00
4.5 out of 5 stars,Rising Tiger: A Thriller (The Scot Harvath Series Book 21),$14.99
4.7 out of 5 stars,Reckoning: An FBI Thriller,$14.99
4.6 out of 5 stars,The Silence of Unworthy Gods (Arcane Ascension Book 4),$0.00
4.4 out of 5 stars,It Happened One Summer: A Novel,$13.99
4.5 out of 5 stars,The War of Two Queens (Blood And Ash Series Book 4),$7.99
4.7 out of 5 stars,"George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire Series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons",$39.99
4.4 out of 5 stars,"Girl, Forgotten: A Novel",$14.99
4.5 out of 5 stars,Lost in Time,$0.00
4.5 out of 5 stars,Cloud Cuckoo Land: A Novel,$13.99
4.7 out of 5 stars,The Rising Tide: A Vera Stanhope Novel,$14.99
4.6 out of 5 stars,Every Summer After,$9.99
4.5 out of 5 stars,A Heart Full of Headstones: An Inspector Rebus Novel (A Rebus Novel),$14.99
4.4 out of 5 stars,Rich Blood (Jason Rich Book 1),$0.00
4.2 out of 5 stars,Layla,$0.00
4.3 out of 5 stars,And There Was Light: Abraham Lincoln and the American Struggle,$14.99
4.4 out of 5 stars,Tarnished Tyrant (Zhukova Bratva Book 1),$0.00
4.6 out of 5 stars,Shattered (A Michael Bennett Thriller Book 14),$14.99
4.3 out of 5 stars,Wish You Were Here: A Novel,$11.99
4.5 out of 5 stars,Killing the Legends: The Lethal Danger of Celebrity,$14.99
4.7 out of 5 stars,Simply Mine: A Small Town Best Friend's Brother Romance (Honey Mountain Series Book 4),$0.00
4.5 out of 5 stars,What She Found (Tracy Crosswhite Book 9),$0.00
4.2 out of 5 stars,Well Behaved Wives: A Novel,$4.99
4.4 out of 5 stars,Tsunami (Rachel Hatch Book 9),$0.00
4.4 out of 5 stars,The Furies: A Thriller (Charlie Parker Book 20),$14.99
4.3 out of 5 stars,The Big Dark Sky,$0.00
4.5 out of 5 stars,Matchmaking The CEO: A Grumpy-Sunshine Romance,$0.00
4.6 out of 5 stars,The Crown of Gilded Bones (Blood And Ash Series Book 3),$7.99
4.3 out of 5 stars,So Not Meant To Be,$0.00
4.5 out of 5 stars,Quarterback Sneak: A Forbidden Sports Romance (Red Zone Rivals),$0.00
4.8 out of 5 stars,Bibi: My Story,$16.99
3.8 out of 5 stars,Down and Out in Paradise: The Life of Anthony Bourdain,$14.99
4.5 out of 5 stars,Give Me Love: A Fake Marriage Romantic Suspense (Rose Canyon Book 2),$0.00
4.3 out of 5 stars,The Brighter the Light,$0.00
4.5 out of 5 stars,The Judge's List: A Novel (The Whistler Book 2),$9.99
4.5 out of 5 stars,The Stopover (The Miles High Club Book 1),$0.00
4.8 out of 5 stars,A Kingdom of Flesh and Fire (Blood and Ash Book 2),$7.99
4.5 out of 5 stars,The Butcher and The Wren: A Novel,$9.99
4.6 out of 5 stars,Maybe Someday,$10.99
4.7 out of 5 stars,Go Tell the Bees That I Am Gone: A Novel (Outlander Book 9),$13.99
4.6 out of 5 stars,When Gracie Met The Grump,$0.00
4.3 out of 5 stars,The Measure: A Novel,$14.99
4.8 out of 5 stars,The Silmarillion,$11.99
4.8 out of 5 stars,Damaged Shadows: Shadows Landing #9,$4.99
4.8 out of 5 stars,Legacy of the M'Zee: A Portal Cultivation Fantasy Saga (Elemental Gatherers Book 6),$5.99
4.5 out of 5 stars,Forever After All: A Billionaire Marriage of Convenience Novel,$0.00
4.8 out of 5 stars,Beyond the Wand: The Magic and Mayhem of Growing Up a Wizard,$14.99
4.4 out of 5 stars,One True Loves: A Novel,$12.99
4.4 out of 5 stars,The Rules of Dating,$4.99
4.3 out of 5 stars,Portals,$0.00
4.4 out of 5 stars,Killers of a Certain Age,$14.99
4.7 out of 5 stars,Sweetwater and the Witch (A Harmony Novel Book 16),$14.99
4.4 out of 5 stars,Tarnished Queen (Zhukova Bratva Book 2),$0.00
4.7 out of 5 stars,From Blood and Ash (Blood And Ash Series Book 1),$7.99
4.3 out of 5 stars,A Flicker in the Dark: A Novel,$14.99
4.8 out of 5 stars,He Who Fights with Monsters 7: A LitRPG Adventure,$0.00
4.0 out of 5 stars,Court of the Vampire Queen: A spicy polyam MMMF romance,$0.00
4.7 out of 5 stars,Crush (Crave Book 2),$0.00
4.5 out of 5 stars,Keeper of Enchanted Rooms (Whimbrel House Book 1),$4.99
4.0 out of 5 stars,Hell and Back: A Longmire Mystery,$14.99
4.5 out of 5 stars,The Whalebone Theatre: A novel,$14.99
4.3 out of 5 stars,Meant to Be: A Novel,$14.99
4.6 out of 5 stars,Nightwork: A Novel,$14.99
4.3 out of 5 stars,Too Late,$0.00
4.8 out of 5 stars,Discipline Is Destiny: The Power of Self-Control (The Stoic Virtues Series),$14.99
4.5 out of 5 stars,The Palace Papers: Inside the House of Windsor--the Truth and the Turmoil,$14.99
4.7 out of 5 stars,In the Blood: A Thriller (Terminal List Book 5),$14.99
4.9 out of 5 stars,"If This Book Exists, You're in the Wrong Universe: A John, Dave, and Amy Novel (John Dies at the End 4)",$14.99
4.4 out of 5 stars,Dream Town (An Archer Novel Book 3),$14.99
4.2 out of 5 stars,Malibu Rising: A Novel,$11.99
