cursor timestamp xpos ypos event xpath attrs extras
0 1538455382118 0 0 load / {} {}
0 1538455382856 0 0 focus / {} {}
0 1538455383446 239 3 mouseover //*[@id='searchform']/div/div {} {"topRight":513,"topLeft":151,"bottomRight":704,"bottomLeft":505,"middle":357,"inTarget":false}
0 1538455383596 167 146 mouseover //*[@id='platop0'] {} {"topRight":576,"topLeft":56,"bottomRight":673,"bottomLeft":352,"middle":310,"inTarget":true}
0 1538455383796 145 193 mousemove //*[@id='tvcap']/div[1]/div/div[2]/div[1]/div[1]/div[1]/div[1] {} {"topRight":603,"topLeft":89,"bottomRight":669,"bottomLeft":303,"middle":309,"inTarget":true}
0 1538455384070 0 0 blur / {} {}
0 1538455385444 0 0 focus / {} {}
0 1538455385635 237 15 mouseover //*[@id='lst-ib'] {} {"topRight":513,"topLeft":142,"bottomRight":697,"bottomLeft":493,"middle":348,"inTarget":false}
0 1538455385787 0 327 mousemove //*[@id='rcnt'] {} {"topRight":774,"topLeft":255,"bottomRight":761,"bottomLeft":212,"middle":436,"inTarget":false}
0 1538455386017 0 0 scroll / {} {}
0 1538455386169 0 0 scroll / {} {}
0 1538455386337 0 0 scroll / {} {}
0 1538455387655 0 0 scroll / {} {}
0 1538455387806 0 0 scroll / {} {}
0 1538455388171 0 0 scroll / {} {}
0 1538455388323 0 0 scroll / {} {}
0 1538455388474 0 0 scroll / {} {}
0 1538455388827 0 0 scroll / {} {}
0 1538455388994 0 0 scroll / {} {}
0 1538455389710 0 0 scroll / {} {}
0 1538455389861 0 0 scroll / {} {}
0 1538455390034 1 1227 mousemove //*[@id='rcnt'] {} {"topRight":1344,"topLeft":1128,"bottomRight":1041,"bottomLeft":742,"middle":1023,"inTarget":false}
0 1538455390564 29 1218 mousemove //*[@id='rcnt'] {} {"topRight":1321,"topLeft":1116,"bottomRight":1015,"bottomLeft":729,"middle":1003,"inTarget":false}
0 1538455390729 0 0 scroll / {} {}
0 1538455391499 29 1322 mousemove //*[@id='rcnt'] {} {"topRight":1410,"topLeft":1220,"bottomRight":1091,"bottomLeft":832,"middle":1099,"inTarget":false}
0 1538455391651 159 1321 mousemove //*[@id='rso']/div[3]/div {} {"topRight":1348,"topLeft":1215,"bottomRight":1010,"bottomLeft":826,"middle":1057,"inTarget":false}
0 1538455391848 181 1351 mousemove //*[@id='rso']/div[3]/div/div[3]/div/h3/a {} {"topRight":1366,"topLeft":1246,"bottomRight":1023,"bottomLeft":857,"middle":1080,"inTarget":false}
0 1538455392856 181 1351 mousedown //*[@id='rso']/div[3]/div/div[3]/div/h3/a {} {"topRight":1366,"topLeft":1246,"bottomRight":1023,"bottomLeft":857,"middle":1080,"inTarget":false}
0 1538455392908 181 1351 mouseup //*[@id='rso']/div[3]/div/div[3]/div/h3/a {} {"topRight":1366,"topLeft":1246,"bottomRight":1023,"bottomLeft":857,"middle":1080,"inTarget":false}
0 1538455392908 181 1351 click //*[@id='rso']/div[3]/div/div[3]/div/h3/a {} {"topRight":1366,"topLeft":1246,"bottomRight":1023,"bottomLeft":857,"middle":1080,"inTarget":false}
0 1538455392909 0 0 beforeunload / {} {}
0 1538455393018 0 0 unload / {} {}
