cursor timestamp xpos ypos event xpath attrs extras
0 1482246678426 0 0 load / {} {}
0 1482246678591 0 0 scroll / {} {}
0 1482246678741 0 0 scroll / {} {}
0 1482246678891 331 622 mousemove //*[@id='rso']/div {} {"topRight":660,"topLeft":554,"bottomRight":430,"bottomLeft":239,"middle":337,"inTarget":false}
0 1482246680357 0 0 scroll / {} {}
0 1482246680507 0 0 scroll / {} {}
0 1482246680991 0 0 scroll / {} {}
0 1482246681142 0 0 scroll / {} {}
0 1482246681700 330 233 mouseover //*[@id='tvcap']/div[1]/div/div[2]/div[1]/div[1]/div[1] {} {"topRight":431,"topLeft":239,"bottomRight":489,"bottomLeft":332,"middle":125,"inTarget":true}
0 1482246681916 377 87 mousemove //*[@id='resultStats'] {} {"topRight":365,"topLeft":250,"bottomRight":548,"bottomLeft":479,"middle":222,"inTarget":false}
0 1482246682074 345 132 mouseover //*[@id='tvcap']/div[1]/div/div[1] {} {"topRight":398,"topLeft":219,"bottomRight":539,"bottomLeft":424,"middle":191,"inTarget":true}
0 1482246682372 344 131 mouseover //*[@id='tvcap']/div[1]/div/div[1]/h3/a/span {} {"topRight":399,"topLeft":217,"bottomRight":540,"bottomLeft":424,"middle":193,"inTarget":true}
0 1482246682589 345 126 mousedown //*[@id='tvcap']/div[1]/div/div[1]/h3/a/span {} {"topRight":398,"topLeft":218,"bottomRight":543,"bottomLeft":429,"middle":197,"inTarget":true}
0 1482246682773 345 126 mouseover //*[@id='tvcap']/div[1]/div/div[1]/h3/a/span/font/font {} {"topRight":398,"topLeft":218,"bottomRight":543,"bottomLeft":429,"middle":197,"inTarget":true}
0 1482246682773 345 126 mouseup //*[@id='tvcap']/div[1]/div/div[1]/h3/a/span/font/font {} {"topRight":398,"topLeft":218,"bottomRight":543,"bottomLeft":429,"middle":197,"inTarget":true}
0 1482246682774 345 126 click //*[@id='tvcap']/div[1]/div/div[1]/h3/a/span {} {"topRight":398,"topLeft":218,"bottomRight":543,"bottomLeft":429,"middle":197,"inTarget":true}
0 1482246682782 0 0 beforeunload / {} {}
0 1482246683067 0 0 unload / {} {}
