cursor timestamp xpos ypos event xpath attrs extras
0 1485874269859 0 0 load / {} {}
0 1485874270859 0 0 blur / {} {}
0 1485874301602 0 0 focus / {} {}
0 1485874303629 586 12 mouseover //*[@id='sfdiv'] {} {"topRight":665,"topLeft":225,"bottomRight":965,"bottomLeft":735,"middle":588,"inTarget":false}
0 1485874303786 384 100 mousemove //*[@id='tads'] {} {"topRight":860,"topLeft":406,"bottomRight":1059,"bottomLeft":739,"middle":706,"inTarget":false}
0 1485874303936 328 101 mousemove //*[@id='tads'] {} {"topRight":916,"topLeft":462,"bottomRight":1104,"bottomLeft":771,"middle":756,"inTarget":false}
0 1485874304091 325 124 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":919,"topLeft":465,"bottomRight":1094,"bottomLeft":754,"middle":750,"inTarget":false}
0 1485874305701 325 124 mousedown //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":919,"topLeft":465,"bottomRight":1094,"bottomLeft":754,"middle":750,"inTarget":false}
0 1485874305859 325 124 mouseup //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":919,"topLeft":465,"bottomRight":1094,"bottomLeft":754,"middle":750,"inTarget":false}
0 1485874305862 325 124 click //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":919,"topLeft":465,"bottomRight":1094,"bottomLeft":754,"middle":750,"inTarget":false}
0 1485874305864 0 0 beforeunload / {} {}
0 1485874306328 0 0 unload / {} {}
