book_rating,book_title,paperback_price
4.6 out of 5 stars,Everyone Feels Angry Sometimes - An Anger Management Book for Kids that Teaches Essential Steps to Manage Anger & Frustration - A Psychologist Recommended Book for Children Ages 3-10,$13.49
4.8 out of 5 stars,Trapped in a Video Game: The Complete Series,$25.93
4.2 out of 5 stars,Layla,$8.97
4.8 out of 5 stars,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,$17.99
4.7 out of 5 stars,The Power of Now: A Guide to Spiritual Enlightenment,$7.51
4.8 out of 5 stars,Meditations: A New Translation,$7.99
4.6 out of 5 stars,Icebreaker,$15.75
4.6 out of 5 stars,The Power of Positive Thinking,$8.99
4.9 out of 5 stars,The Baby-sitters Club Graphic Novels #1-7: A Graphix Collection: Full-Color Edition (The Baby-Sitters Club Graphix),$38.30
4.7 out of 5 stars,The Big Book of Silly Jokes for Kids,$5.99
4.6 out of 5 stars,Heart Bones,$14.99
4.8 out of 5 stars,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson, 25th Anniversary Edition",$7.51
4.8 out of 5 stars,"A Court of Silver Flames (A Court of Thorns and Roses, 5)",$14.63
4.7 out of 5 stars,The January 6 Report,$13.99
4.7 out of 5 stars,"Self-Love Workbook for Women: Release Self-Doubt, Build Self-Compassion, and Embrace Who You Are (Self-Help Workbooks for Women)",$9.59
4.6 out of 5 stars,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series),$7.49
4.4 out of 5 stars,Lord of the Flies,$5.99
4.6 out of 5 stars,Air Fryer Cookbook: 600 Effortless Air Fryer Recipes for Beginners and Advanced Users,$10.90
4.4 out of 5 stars,All Your Perfects: A Novel,$10.31
4.7 out of 5 stars,The Perfect Marriage: a completely gripping psychological suspense,$13.99
4.8 out of 5 stars,Relentless: From Good to Great to Unstoppable (Tim Grover Winning Series),$11.89
4.6 out of 5 stars,12 Rules for Life: An Antidote to Chaos,$12.94
4.8 out of 5 stars,"Anxiety Relief Adult Coloring Book: Over 100 Pages of Mindfulness and anti-stress Coloring To Soothe Anxiety featuring Beautiful and Magical Scenes, ... | Adult Coloring Book (Anxiety Coloring Book)",$5.99
4.7 out of 5 stars,The 7 Habits of Highly Effective People: 30th Anniversary Edition (The Covey Habits Series),$12.26
4.7 out of 5 stars,Saunders Comprehensive Review for the NCLEX-RN® Examination,$27.21
4.7 out of 5 stars,The Complete Summer I Turned Pretty Trilogy: The Summer I Turned Pretty; It's Not Summer Without You; We'll Always Have Summer,$59.99
