cursor timestamp xpos ypos event xpath attrs extras
0 1487421124002 0 0 load / {} {}
0 1487421133345 453 277 mousemove //*[@id='rso']/div[2]/div/div/div[1]/div[2]/div[1]/div/div/div {} {"topRight":809,"topLeft":378,"bottomRight":821,"bottomLeft":402,"middle":565,"inTarget":false}
0 1487421133496 362 381 mousemove //*[@id='nmtbi6']/div[2]/div {} {"topRight":924,"topLeft":509,"bottomRight":889,"bottomLeft":443,"middle":660,"inTarget":false}
0 1487421133649 310 488 mousemove //*[@id='rso']/div[3]/div[1]/div/div/div/span {} {"topRight":1009,"topLeft":613,"bottomRight":934,"bottomLeft":480,"middle":731,"inTarget":false}
0 1487421133801 296 525 mousemove //*[@id='rso']/div[3] {} {"topRight":1036,"topLeft":648,"bottomRight":948,"bottomLeft":495,"middle":755,"inTarget":false}
0 1487421133953 292 534 mousemove //*[@id='rso']/div[3] {} {"topRight":1044,"topLeft":657,"bottomRight":953,"bottomLeft":499,"middle":762,"inTarget":false}
0 1487421134115 289 540 mousemove //*[@id='rso']/div[3] {} {"topRight":1049,"topLeft":663,"bottomRight":956,"bottomLeft":503,"middle":766,"inTarget":false}
0 1487421134447 288 547 mousemove //*[@id='rso']/div[3]/div[2]/div/h3/a {} {"topRight":1053,"topLeft":668,"bottomRight":957,"bottomLeft":505,"middle":769,"inTarget":false}
0 1487421135215 285 546 mousemove //*[@id='rso']/div[3]/div[2]/div/h3/a {} {"topRight":1055,"topLeft":670,"bottomRight":960,"bottomLeft":507,"middle":772,"inTarget":false}
0 1487421135371 61 508 mousemove //*[@id='rhscol'] {} {"topRight":1249,"topLeft":832,"bottomRight":1183,"bottomLeft":729,"middle":978,"inTarget":false}
0 1487421135683 50 511 mousedown //*[@id='rhscol'] {} {"topRight":1261,"topLeft":844,"bottomRight":1194,"bottomLeft":740,"middle":990,"inTarget":false}
0 1487421135815 50 511 mouseup //*[@id='rhscol'] {} {"topRight":1261,"topLeft":844,"bottomRight":1194,"bottomLeft":740,"middle":990,"inTarget":false}
0 1487421135815 50 511 click //*[@id='rhscol'] {} {"topRight":1261,"topLeft":844,"bottomRight":1194,"bottomLeft":740,"middle":990,"inTarget":false}
0 1487421136501 0 0 keydown //*[@id='gsr'] {} {}
0 1487421136660 0 0 scroll / {} {}
0 1487421136720 0 0 keyup //*[@id='gsr'] {} {}
0 1487421136965 0 0 keydown //*[@id='gsr'] {} {}
0 1487421137097 0 0 keyup //*[@id='gsr'] {} {}
0 1487421137283 0 0 keydown //*[@id='gsr'] {} {}
0 1487421137444 0 0 scroll / {} {}
0 1487421137782 0 0 keydown //*[@id='gsr'] {} {}
0 1487421137819 0 0 keydown //*[@id='gsr'] {} {}
0 1487421137847 0 0 keydown //*[@id='gsr'] {} {}
0 1487421137871 0 0 keydown //*[@id='gsr'] {} {}
0 1487421137899 0 0 keydown //*[@id='gsr'] {} {}
0 1487421137931 0 0 keydown //*[@id='gsr'] {} {}
0 1487421137967 0 0 keydown //*[@id='gsr'] {} {}
0 1487421137992 0 0 keydown //*[@id='gsr'] {} {}
0 1487421138020 0 0 keydown //*[@id='gsr'] {} {}
0 1487421138053 0 0 keydown //*[@id='gsr'] {} {}
0 1487421138085 0 0 keydown //*[@id='gsr'] {} {}
0 1487421138089 0 0 keyup //*[@id='gsr'] {} {}
0 1487421138245 0 0 scroll / {} {}
0 1487421142430 0 0 keydown //*[@id='gsr'] {} {}
0 1487421142679 50 1031 mousemove //*[@id='rcnt'] {} {"topRight":1510,"topLeft":1185,"bottomRight":1308,"bottomLeft":913,"middle":1212,"inTarget":false}
0 1487421142930 0 0 keydown //*[@id='gsr'] {} {}
0 1487421142966 0 0 keydown //*[@id='gsr'] {} {}
0 1487421142989 0 0 keydown //*[@id='gsr'] {} {}
0 1487421143021 0 0 keydown //*[@id='gsr'] {} {}
0 1487421143049 0 0 keydown //*[@id='gsr'] {} {}
0 1487421143081 0 0 keydown //*[@id='gsr'] {} {}
0 1487421143097 0 0 keyup //*[@id='gsr'] {} {}
0 1487421143349 50 791 mousemove //*[@id='rcnt'] {} {"topRight":1377,"topLeft":1008,"bottomRight":1230,"bottomLeft":797,"middle":1084,"inTarget":false}
0 1487421143986 59 780 mousemove //*[@id='rcnt'] {} {"topRight":1363,"topLeft":994,"bottomRight":1219,"bottomLeft":784,"middle":1071,"inTarget":false}
0 1487421144137 183 677 mousemove //*[@id='imagebox_bigimages'] {} {"topRight":1205,"topLeft":833,"bottomRight":1076,"bottomLeft":633,"middle":915,"inTarget":false}
0 1487421144313 201 645 mouseover //*[@id='rso'] {} {"topRight":1174,"topLeft":798,"bottomRight":1054,"bottomLeft":608,"middle":886,"inTarget":false}
0 1487421144463 255 543 mousemove //*[@id='rso']/div[3]/div[2]/div/h3/a {} {"topRight":1081,"topLeft":691,"bottomRight":990,"bottomLeft":537,"middle":800,"inTarget":false}
0 1487421145092 256 542 mousedown //*[@id='rso']/div[3]/div[2]/div/h3/a {} {"topRight":1080,"topLeft":689,"bottomRight":989,"bottomLeft":536,"middle":798,"inTarget":false}
0 1487421145220 256 542 mouseup //*[@id='rso']/div[3]/div[2]/div/h3/a {} {"topRight":1080,"topLeft":689,"bottomRight":989,"bottomLeft":536,"middle":798,"inTarget":false}
0 1487421145220 256 542 click //*[@id='rso']/div[3]/div[2]/div/h3/a {} {"topRight":1080,"topLeft":689,"bottomRight":989,"bottomLeft":536,"middle":798,"inTarget":false}
0 1487421145224 0 0 beforeunload / {} {}
0 1487421146338 0 0 unload / {} {}
