cursor timestamp xpos ypos event xpath attrs extras
0 1482700776990 0 0 load / {} {}
0 1482700779452 467 191 mousemove //*[@id='tads']/ol/li/div[4]/span[4]/g-bubble/a/span/span[1] {} {"topRight":292,"topLeft":351,"bottomRight":299,"bottomLeft":357,"middle":33,"inTarget":true}
0 1482700780267 0 0 scroll / {} {}
0 1482700780518 465 424 mouseover //*[@id='rso']/div[1]/div/table/tbody/tr[1]/td[2]/div {} {"topRight":428,"topLeft":467,"bottomRight":304,"bottomLeft":358,"middle":224,"inTarget":false}
0 1482700780931 0 0 scroll / {} {}
0 1482700781081 0 0 scroll / {} {}
0 1482700782397 0 0 scroll / {} {}
0 1482700782548 0 0 scroll / {} {}
0 1482700782916 0 0 scroll / {} {}
0 1482700783167 465 1310 mouseover //*[@id='rso']/div[4]/div[4]/div/div/div {} {"topRight":1242,"topLeft":1256,"bottomRight":1044,"bottomLeft":1061,"middle":1108,"inTarget":false}
0 1482700784461 464 1310 mousemove //*[@id='rso']/div[4]/div[4]/div/div/div {} {"topRight":1242,"topLeft":1256,"bottomRight":1044,"bottomLeft":1061,"middle":1108,"inTarget":false}
0 1482700784615 0 0 scroll / {} {}
0 1482700784765 0 0 scroll / {} {}
0 1482700784920 463 843 mousemove //*[@id='uid_3'] {} {"topRight":794,"topLeft":815,"bottomRight":608,"bottomLeft":635,"middle":642,"inTarget":false}
0 1482700785424 463 843 mousemove //*[@id='uid_3'] {} {"topRight":794,"topLeft":815,"bottomRight":608,"bottomLeft":635,"middle":642,"inTarget":false}
0 1482700785582 0 0 scroll / {} {}
0 1482700785735 463 610 mouseover //*[@id='rso']/div[2] {} {"topRight":582,"topLeft":610,"bottomRight":415,"bottomLeft":454,"middle":409,"inTarget":false}
0 1482700786188 463 610 mousemove //*[@id='rso']/div[2] {} {"topRight":582,"topLeft":610,"bottomRight":415,"bottomLeft":454,"middle":409,"inTarget":false}
0 1482700786579 462 610 mousemove //*[@id='rso']/div[2] {} {"topRight":583,"topLeft":610,"bottomRight":416,"bottomLeft":453,"middle":409,"inTarget":false}
0 1482700786735 458 617 mousemove //*[@id='rso']/div[2] {} {"topRight":591,"topLeft":613,"bottomRight":424,"bottomLeft":455,"middle":416,"inTarget":false}
0 1482700786901 453 624 mousemove //*[@id='rso']/div[2]/div[2]/div/h3/a {} {"topRight":599,"topLeft":617,"bottomRight":433,"bottomLeft":456,"middle":422,"inTarget":false}
0 1482700787330 450 625 mousemove //*[@id='rso']/div[2]/div[2]/div/h3/a {} {"topRight":602,"topLeft":616,"bottomRight":435,"bottomLeft":455,"middle":423,"inTarget":false}
0 1482700787494 399 606 mousemove //*[@id='rso']/div[2] {} {"topRight":612,"topLeft":574,"bottomRight":459,"bottomLeft":406,"middle":406,"inTarget":false}
0 1482700787651 340 549 mousemove //*[@id='rso']/div[2]/div[1]/div/div/div/div/cite {} {"topRight":604,"topLeft":497,"bottomRight":472,"bottomLeft":324,"middle":360,"inTarget":false}
0 1482700788132 331 538 mousedown //*[@id='rso']/div[2]/div[1]/div/h3/a {} {"topRight":602,"topLeft":483,"bottomRight":475,"bottomLeft":310,"middle":352,"inTarget":false}
0 1482700788296 331 538 mouseup //*[@id='rso']/div[2]/div[1]/div/h3/a {} {"topRight":602,"topLeft":483,"bottomRight":475,"bottomLeft":310,"middle":352,"inTarget":false}
0 1482700788299 331 538 click //*[@id='rso']/div[2]/div[1]/div/h3/a {} {"topRight":602,"topLeft":483,"bottomRight":475,"bottomLeft":310,"middle":352,"inTarget":false}
0 1482700788354 0 0 beforeunload / {} {}
0 1482700788559 332 538 mousemove //*[@id='rso']/div[2]/div[1]/div/h3/a {} {"topRight":601,"topLeft":483,"bottomRight":474,"bottomLeft":310,"middle":352,"inTarget":false}
0 1482700788566 0 0 unload / {} {}
