cursor timestamp xpos ypos event xpath attrs extras
0 1493120806383 0 0 load / {} {}
0 1493120817054 0 0 focus / {} {}
0 1493120822234 337 118 mouseover //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":907,"topLeft":453,"bottomRight":916,"bottomLeft":472,"middle":683,"inTarget":false}
0 1493120822433 337 120 mousemove //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":907,"topLeft":453,"bottomRight":916,"bottomLeft":471,"middle":682,"inTarget":false}
0 1493120825155 337 120 mousedown //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":907,"topLeft":453,"bottomRight":916,"bottomLeft":471,"middle":682,"inTarget":false}
0 1493120825166 337 120 mouseup //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":907,"topLeft":453,"bottomRight":916,"bottomLeft":471,"middle":682,"inTarget":false}
0 1493120825168 337 120 click //*[@id='rso']/div[1]/div[1]/div/h3/a {} {"topRight":907,"topLeft":453,"bottomRight":916,"bottomLeft":471,"middle":682,"inTarget":false}
0 1493120826081 0 0 beforeunload / {} {}
