cursor timestamp xpos ypos event xpath attrs extras
0 1532066827690 0 0 load / {} {}
0 1532066828640 415 170 mousemove //*[@id='platop2'] {} {"topRight":335,"topLeft":294,"bottomRight":362,"bottomLeft":325,"middle":49,"inTarget":true}
0 1532066828795 422 179 mousemove //*[@id='platop2'] {} {"topRight":330,"topLeft":303,"bottomRight":352,"bottomLeft":327,"middle":38,"inTarget":true}
0 1532066829105 425 181 mousemove //*[@id='platop2'] {} {"topRight":328,"topLeft":306,"bottomRight":349,"bottomLeft":329,"middle":35,"inTarget":true}
0 1532066829259 422 195 mousemove //*[@id='platop2'] {} {"topRight":334,"topLeft":307,"bottomRight":346,"bottomLeft":320,"middle":24,"inTarget":true}
0 1532066829508 423 194 mousemove //*[@id='platop2'] {} {"topRight":333,"topLeft":308,"bottomRight":346,"bottomLeft":322,"middle":24,"inTarget":true}
0 1532066829663 700 77 mousemove //*[@id='slim_appbar'] {} {"topRight":53,"topLeft":573,"bottomRight":249,"bottomLeft":622,"middle":297,"inTarget":false}
0 1532066829880 739 62 mouseover //*[@id='slim_appbar'] {} {"topRight":44,"topLeft":613,"bottomRight":260,"bottomLeft":664,"middle":339,"inTarget":false}
0 1532066830430 0 0 blur / {} {}
0 1532066847328 0 0 focus / {} {}
0 1532066849181 1008 9 mouseover //*[@id='searchform']/div/div {} {"topRight":281,"topLeft":885,"bottomRight":409,"bottomLeft":934,"middle":608,"inTarget":false}
0 1532066849337 987 316 mousemove //*[@id='rcnt'] {} {"topRight":321,"topLeft":884,"bottomRight":243,"bottomLeft":859,"middle":560,"inTarget":false}
0 1532066849496 992 629 mousemove //*[@id='rcnt'] {} {"topRight":579,"topLeft":1010,"bottomRight":395,"bottomLeft":917,"middle":694,"inTarget":false}
0 1532066849652 0 406 scroll / {} {}
0 1532066849931 989 896 mousemove //*[@id='rcnt'] {} {"topRight":827,"topLeft":1169,"bottomRight":624,"bottomLeft":1035,"middle":878,"inTarget":false}
0 1532066850118 0 423 scroll / {} {}
0 1532066850274 0 121 scroll / {} {}
0 1532066852181 0 20 scroll / {} {}
0 1532066852340 0 346 scroll / {} {}
0 1532066852495 0 617 scroll / {} {}
0 1532066852775 0 638 scroll / {} {}
0 1532066853962 986 1107 mousemove //*[@id='rcnt'] {} {"topRight":1030,"topLeft":1318,"bottomRight":821,"bottomLeft":1163,"middle":1049,"inTarget":false}
0 1532066854118 1000 920 mousemove //*[@id='rcnt'] {} {"topRight":853,"topLeft":1193,"bottomRight":650,"bottomLeft":1057,"middle":904,"inTarget":false}
0 1532066854881 0 640 blur / {} {}
0 1532066987109 0 640 focus / {} {}
0 1532066991714 1006 676 mouseover //*[@id='rcnt'] {} {"topRight":627,"topLeft":1047,"bottomRight":440,"bottomLeft":947,"middle":734,"inTarget":false}
0 1532066991870 961 970 mousemove //*[@id='rcnt'] {} {"topRight":891,"topLeft":1200,"bottomRight":683,"bottomLeft":1055,"middle":920,"inTarget":false}
0 1532066992029 973 634 mousemove //*[@id='rcnt'] {} {"topRight":576,"topLeft":996,"bottomRight":387,"bottomLeft":901,"middle":682,"inTarget":false}
0 1532066992185 970 491 mousemove //*[@id='rcnt'] {} {"topRight":446,"topLeft":926,"bottomRight":282,"bottomLeft":859,"middle":602,"inTarget":false}
0 1532066992341 962 417 mousemove //*[@id='rcnt'] {} {"topRight":380,"topLeft":890,"bottomRight":238,"bottomLeft":839,"middle":564,"inTarget":false}
0 1532066992498 957 355 mousemove //*[@id='rcnt'] {} {"topRight":328,"topLeft":866,"bottomRight":216,"bottomLeft":830,"middle":540,"inTarget":false}
0 1532066996031 957 351 mousemove //*[@id='rcnt'] {} {"topRight":325,"topLeft":864,"bottomRight":215,"bottomLeft":830,"middle":539,"inTarget":false}
0 1532067001415 956 350 mousemove //*[@id='rcnt'] {} {"topRight":323,"topLeft":863,"bottomRight":214,"bottomLeft":828,"middle":537,"inTarget":false}
0 1532067001588 1014 192 mousemove //*[@id='rcnt'] {} {"topRight":283,"topLeft":890,"bottomRight":300,"bottomLeft":895,"middle":578,"inTarget":false}
0 1532067002632 0 0 beforeunload / {} {}
0 1532067002659 0 0 blur / {} {}
0 1532067002782 0 0 unload / {} {}
