cursor timestamp xpos ypos event xpath attrs extras
0 1487192542132 0 0 load / {} {}
0 1487192558773 1365 1638 mousemove /html {} {"topRight":1654,"topLeft":1969,"bottomRight":1288,"bottomLeft":1673,"middle":1622,"inTarget":false}
0 1487192558929 1365 1694 mousemove /html {} {"topRight":1706,"topLeft":2013,"bottomRight":1337,"bottomLeft":1712,"middle":1669,"inTarget":false}
0 1487192559088 1365 1721 mousemove /html {} {"topRight":1731,"topLeft":2034,"bottomRight":1361,"bottomLeft":1730,"middle":1691,"inTarget":false}
0 1487192559256 1365 1753 mousemove /html {} {"topRight":1761,"topLeft":2060,"bottomRight":1389,"bottomLeft":1753,"middle":1718,"inTarget":false}
0 1487192560618 1365 1755 mousemove /html {} {"topRight":1763,"topLeft":2061,"bottomRight":1391,"bottomLeft":1754,"middle":1720,"inTarget":false}
0 1487192560771 1365 1676 mousemove /html {} {"topRight":1689,"topLeft":1999,"bottomRight":1321,"bottomLeft":1699,"middle":1654,"inTarget":false}
0 1487192560928 0 958 scroll / {} {}
0 1487192561371 1365 1253 mousemove /html {} {"topRight":1305,"topLeft":1687,"bottomRight":969,"bottomLeft":1442,"middle":1326,"inTarget":false}
0 1487192561521 1365 1156 mousemove /html {} {"topRight":1221,"topLeft":1623,"bottomRight":897,"bottomLeft":1395,"middle":1258,"inTarget":false}
0 1487192566266 1365 1121 mouseup /html {} {"topRight":1191,"topLeft":1600,"bottomRight":872,"bottomLeft":1379,"middle":1235,"inTarget":false}
0 1487192566416 1117 1121 mousemove //*[@id='rcnt'] {} {"topRight":1082,"topLeft":1417,"bottomRight":716,"bottomLeft":1162,"middle":1061,"inTarget":false}
0 1487192566849 918 1135 mousemove //*[@id='rcnt'] {} {"topRight":1044,"topLeft":1297,"bottomRight":648,"bottomLeft":1007,"middle":957,"inTarget":false}
0 1487192567008 401 1253 mousemove //*[@id='rso']/div[3]/div[1]/div/div/div/span {} {"topRight":1197,"topLeft":1179,"bottomRight":817,"bottomLeft":791,"middle":945,"inTarget":false}
0 1487192567389 382 1259 mousemove //*[@id='rso']/div[3]/div[1]/div/div/div/span {} {"topRight":1208,"topLeft":1181,"bottomRight":830,"bottomLeft":790,"middle":952,"inTarget":false}
0 1487192567907 376 1212 mousedown //*[@id='rso']/div[3]/div[1]/div/h3/a {} {"topRight":1165,"topLeft":1133,"bottomRight":791,"bottomLeft":744,"middle":905,"inTarget":false}
0 1487192568006 376 1212 mouseup //*[@id='rso']/div[3]/div[1]/div/h3/a {} {"topRight":1165,"topLeft":1133,"bottomRight":791,"bottomLeft":744,"middle":905,"inTarget":false}
0 1487192568008 0 0 beforeunload / {} {}
0 1487192568015 376 1212 click //*[@id='rso']/div[3]/div[1]/div/h3/a {} {"topRight":1165,"topLeft":1133,"bottomRight":791,"bottomLeft":744,"middle":905,"inTarget":false}
0 1487192568191 0 0 unload / {} {}
