cursor timestamp xpos ypos event xpath attrs extras
0 1482545341960 0 0 load / {} {}
0 1482545343406 0 0 blur / {} {}
0 1482545352796 0 0 focus / {} {}
0 1482545353486 1390 1 mouseover //*[@id='searchform']/div/div {} {"topRight":654,"topLeft":1266,"bottomRight":688,"bottomLeft":1284,"middle":969,"inTarget":false}
0 1482545354634 1599 109 mouseover /html {} {"topRight":855,"topLeft":1471,"bottomRight":865,"bottomLeft":1477,"middle":1165,"inTarget":false}
0 1482545354638 1599 109 mousedown /html {} {"topRight":855,"topLeft":1471,"bottomRight":865,"bottomLeft":1477,"middle":1165,"inTarget":false}
0 1482545354803 0 0 scroll / {} {}
0 1482545354968 0 0 scroll / {} {}
0 1482545355265 0 0 scroll / {} {}
0 1482545355431 0 0 scroll / {} {}
0 1482545355996 0 0 scroll / {} {}
0 1482545356168 0 0 scroll / {} {}
0 1482545356647 0 0 scroll / {} {}
0 1482545356826 1546 91 mouseup /html {} {"topRight":802,"topLeft":1418,"bottomRight":815,"bottomLeft":1425,"middle":1113,"inTarget":false}
0 1482545357034 1510 95 mousemove //*[@id='slim_appbar'] {} {"topRight":766,"topLeft":1382,"bottomRight":779,"bottomLeft":1389,"middle":1077,"inTarget":false}
0 1482545357337 588 176 mousemove //*[@id='tads']/ol/li/div[3] {} {"topRight":174,"topLeft":466,"bottomRight":168,"bottomLeft":464,"middle":152,"inTarget":true}
0 1482545357492 528 247 mousemove //*[@id='center_col'] {} {"topRight":261,"topLeft":426,"bottomRight":216,"bottomLeft":400,"middle":121,"inTarget":false}
0 1482545357663 528 248 mouseover //*[@id='rso']/div[1]/div/div/h3/a {} {"topRight":262,"topLeft":427,"bottomRight":216,"bottomLeft":400,"middle":122,"inTarget":false}
0 1482545357771 528 256 mousedown //*[@id='rso']/div[1]/div/div/h3/a {} {"topRight":266,"topLeft":429,"bottomRight":217,"bottomLeft":400,"middle":127,"inTarget":false}
0 1482545357841 528 255 mouseup //*[@id='rso']/div[1]/div/div/h3/a {} {"topRight":266,"topLeft":429,"bottomRight":217,"bottomLeft":400,"middle":126,"inTarget":false}
0 1482545357842 528 255 click //*[@id='rso']/div[1]/div/div/h3/a {} {"topRight":266,"topLeft":429,"bottomRight":217,"bottomLeft":400,"middle":126,"inTarget":false}
0 1482545357844 0 0 beforeunload / {} {}
0 1482545358377 0 0 unload / {} {}
