cursor timestamp xpos ypos event xpath attrs extras
0 1516285334275 0 0 load / {} {}
0 1516285339413 555 370 mousemove //*[@id='imagebox_bigimages'] {} {"topRight":738,"topLeft":353,"bottomRight":700,"bottomLeft":264,"middle":501,"inTarget":false}
0 1516285339631 550 370 mousemove //*[@id='imagebox_bigimages'] {} {"topRight":743,"topLeft":357,"bottomRight":704,"bottomLeft":269,"middle":505,"inTarget":false}
0 1516285339797 544 369 mousemove //*[@id='imagebox_bigimages'] {} {"topRight":748,"topLeft":360,"bottomRight":710,"bottomLeft":274,"middle":510,"inTarget":false}
0 1516285339947 471 369 mousemove //*[@id='imagebox_bigimages'] {} {"topRight":817,"topLeft":413,"bottomRight":782,"bottomLeft":341,"middle":579,"inTarget":false}
0 1516285340111 0 0 scroll / {} {}
0 1516285340261 0 0 scroll / {} {}
0 1516285340431 426 669 mousemove //*[@id='rso']/div[4]/div/div/div[1]/div[2]/div[1]/div/div/div {} {"topRight":993,"topLeft":670,"bottomRight":920,"bottomLeft":556,"middle":769,"inTarget":false}
0 1516285340596 459 694 mousemove //*[@id='rso']/div[4]/div/div/div[1]/div[2]/div[1] {} {"topRight":981,"topLeft":675,"bottomRight":902,"bottomLeft":555,"middle":760,"inTarget":false}
0 1516285341628 0 0 scroll / {} {}
0 1516285341779 0 0 scroll / {} {}
0 1516285342346 0 0 scroll / {} {}
0 1516285342511 0 0 scroll / {} {}
0 1516285342661 0 0 scroll / {} {}
0 1516285342812 0 0 scroll / {} {}
0 1516285342981 464 1096 mouseover //*[@id='rso']/div[5]/div[3]/div/div/div/span {} {"topRight":1260,"topLeft":1042,"bottomRight":1151,"bottomLeft":908,"middle":1072,"inTarget":false}
0 1516285345744 0 0 scroll / {} {}
0 1516285345895 0 0 scroll / {} {}
0 1516285346045 0 0 scroll / {} {}
0 1516285346394 0 0 scroll / {} {}
0 1516285346545 0 0 scroll / {} {}
0 1516285346698 459 364 mouseover //*[@id='imagebox_bigimages'] {} {"topRight":826,"topLeft":420,"bottomRight":793,"bottomLeft":350,"middle":588,"inTarget":false}
0 1516285346863 420 284 mousemove //*[@id='rso']/div[1]/div[2]/div/div/div {} {"topRight":843,"topLeft":411,"bottomRight":825,"bottomLeft":372,"middle":606,"inTarget":false}
0 1516285347014 409 242 mouseover //*[@id='rso']/div[1]/div[2]/div/div/div/div[1]/cite {} {"topRight":846,"topLeft":405,"bottomRight":835,"bottomLeft":381,"middle":611,"inTarget":false}
0 1516285347490 408 218 mousedown //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":843,"topLeft":398,"bottomRight":837,"bottomLeft":383,"middle":610,"inTarget":false}
0 1516285347559 408 218 mouseup //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":843,"topLeft":398,"bottomRight":837,"bottomLeft":383,"middle":610,"inTarget":false}
0 1516285347560 408 218 click //*[@id='rso']/div[1]/div[2]/div/h3/a {} {"topRight":843,"topLeft":398,"bottomRight":837,"bottomLeft":383,"middle":610,"inTarget":false}
0 1516285347560 0 0 beforeunload / {} {}
0 1516285347712 465 236 mouseover //*[@id='rso']/div[1]/div[2]/div/div/div/div[1]/cite {} {"topRight":790,"topLeft":350,"bottomRight":779,"bottomLeft":325,"middle":555,"inTarget":false}
0 1516285347739 0 0 unload / {} {}
