cursor timestamp xpos ypos event xpath attrs extras
0 1536866764793 0 0 load / {} {}
0 1536866765404 807 367 mousemove //*[@id='rcnt'] {} {"topRight":268,"topLeft":727,"bottomRight":77,"bottomLeft":680,"middle":401,"inTarget":false}
0 1536866765568 806 309 mousemove //*[@id='rcnt'] {} {"topRight":212,"topLeft":708,"bottomRight":63,"bottomLeft":678,"middle":382,"inTarget":false}
0 1536866765764 805 309 mousemove //*[@id='rcnt'] {} {"topRight":212,"topLeft":707,"bottomRight":62,"bottomLeft":677,"middle":381,"inTarget":false}
0 1536866765919 825 349 mousemove //*[@id='rcnt'] {} {"topRight":256,"topLeft":738,"bottomRight":85,"bottomLeft":698,"middle":412,"inTarget":false}
0 1536866766069 0 0 scroll / {} {}
0 1536866766228 831 858 mousemove //*[@id='rcnt'] {} {"topRight":757,"topLeft":1029,"bottomRight":543,"bottomLeft":884,"middle":755,"inTarget":false}
0 1536866766384 821 880 mousemove //*[@id='rcnt'] {} {"topRight":778,"topLeft":1039,"bottomRight":563,"bottomLeft":890,"middle":769,"inTarget":false}
0 1536866766988 821 881 mousemove //*[@id='rcnt'] {} {"topRight":779,"topLeft":1040,"bottomRight":564,"bottomLeft":890,"middle":770,"inTarget":false}
0 1536866767435 0 0 scroll / {} {}
0 1536866767585 0 0 scroll / {} {}
0 1536866768339 0 0 scroll / {} {}
0 1536866768500 0 0 scroll / {} {}
0 1536866768654 0 0 scroll / {} {}
0 1536866768818 0 0 scroll / {} {}
0 1536866769228 822 381 mousemove //*[@id='rcnt'] {} {"topRight":286,"topLeft":746,"bottomRight":98,"bottomLeft":697,"middle":421,"inTarget":false}
0 1536866769383 1030 195 mousemove //*[@id='rcnt'] {} {"topRight":300,"topLeft":906,"bottomRight":313,"bottomLeft":911,"middle":594,"inTarget":false}
0 1536866772837 0 0 blur / {} {}
0 1536866772990 1175 5 mouseover //*[@id='searchform']/div/div {} {"topRight":443,"topLeft":1052,"bottomRight":535,"bottomLeft":1094,"middle":768,"inTarget":false}
0 1536866772991 0 0 focus / {} {}
0 1536866773329 1163 6 mousemove //*[@id='searchform']/div/div {} {"topRight":431,"topLeft":1040,"bottomRight":525,"bottomLeft":1082,"middle":756,"inTarget":false}
0 1536866774045 0 0 blur / {} {}
0 1536866785123 0 0 focus / {} {}
0 1536866785403 642 16 mouseover //*[@id='lst-ib'] {} {"topRight":136,"topLeft":522,"bottomRight":323,"bottomLeft":598,"middle":286,"inTarget":false}
0 1536866785563 565 234 mousemove //*[@id='uid_WC7MzQACwQUKJkLLGAo0qg_0']/div/div/div/div[1]/div[5]/div[1]/div[2]/div[1]/a {} {"topRight":220,"topLeft":455,"bottomRight":199,"bottomLeft":446,"middle":131,"inTarget":true}
0 1536866785715 576 223 mousemove //*[@id='platop4'] {} {"topRight":205,"topLeft":463,"bottomRight":195,"bottomLeft":459,"middle":140,"inTarget":true}
0 1536866785877 227 20 mousemove //*[@id='lst-ib'] {} {"topRight":524,"topLeft":131,"bottomRight":599,"bottomLeft":318,"middle":285,"inTarget":false}
0 1536866786828 0 0 beforeunload / {} {}
0 1536866789881 0 0 unload / {} {}
