cursor timestamp xpos ypos event xpath attrs extras
0 1493134302945 0 0 load / {} {}
0 1493134314023 568 307 mousemove //*[@id='rso'] {} {"topRight":705,"topLeft":299,"bottomRight":791,"bottomLeft":467,"middle":461,"inTarget":false}
0 1493134314210 568 307 mousemove //*[@id='rso'] {} {"topRight":705,"topLeft":299,"bottomRight":791,"bottomLeft":467,"middle":461,"inTarget":false}
0 1493134314396 558 318 mousemove //*[@id='rso']/hr[1] {} {"topRight":718,"topLeft":314,"bottomRight":794,"bottomLeft":462,"middle":469,"inTarget":false}
0 1493134314550 552 409 mousemove //*[@id='rso']/div[2]/div/div[2]/div[2]/div {} {"topRight":755,"topLeft":385,"bottomRight":758,"bottomLeft":390,"middle":465,"inTarget":false}
0 1493134314703 551 409 mousemove //*[@id='rso']/div[2]/div/div[2]/div[2]/div {} {"topRight":756,"topLeft":386,"bottomRight":759,"bottomLeft":391,"middle":466,"inTarget":false}
0 1493134314860 516 526 mouseover //*[@id='rso']/div[2]/div/div[4]/a {} {"topRight":840,"topLeft":501,"bottomRight":753,"bottomLeft":335,"middle":514,"inTarget":false}
0 1493134315050 460 611 mousemove //*[@id='rso'] {} {"topRight":933,"topLeft":603,"bottomRight":791,"bottomLeft":347,"middle":591,"inTarget":false}
0 1493134315239 460 611 mousemove //*[@id='rso'] {} {"topRight":933,"topLeft":603,"bottomRight":791,"bottomLeft":347,"middle":591,"inTarget":false}
0 1493134315425 460 611 mousemove //*[@id='rso'] {} {"topRight":933,"topLeft":603,"bottomRight":791,"bottomLeft":347,"middle":591,"inTarget":false}
0 1493134315612 460 611 mousemove //*[@id='rso'] {} {"topRight":933,"topLeft":603,"bottomRight":791,"bottomLeft":347,"middle":591,"inTarget":false}
0 1493134315799 460 611 mousemove //*[@id='rso'] {} {"topRight":933,"topLeft":603,"bottomRight":791,"bottomLeft":347,"middle":591,"inTarget":false}
0 1493134315986 460 611 mousemove //*[@id='rso'] {} {"topRight":933,"topLeft":603,"bottomRight":791,"bottomLeft":347,"middle":591,"inTarget":false}
0 1493134316179 460 611 mousemove //*[@id='rso'] {} {"topRight":933,"topLeft":603,"bottomRight":791,"bottomLeft":347,"middle":591,"inTarget":false}
0 1493134316333 448 614 mousemove //*[@id='rso'] {} {"topRight":944,"topLeft":612,"bottomRight":803,"bottomLeft":357,"middle":604,"inTarget":false}
0 1493134316488 420 617 mousemove //*[@id='rso'] {} {"topRight":970,"topLeft":631,"bottomRight":830,"bottomLeft":384,"middle":631,"inTarget":false}
0 1493134316641 394 623 mousemove //*[@id='rso']/div[3]/div/div[1]/div/h3/a {} {"topRight":995,"topLeft":651,"bottomRight":855,"bottomLeft":407,"middle":658,"inTarget":false}
0 1493134316785 379 627 mousedown //*[@id='rso']/div[3]/div/div[1]/div/h3/a {} {"topRight":1010,"topLeft":664,"bottomRight":870,"bottomLeft":421,"middle":673,"inTarget":false}
0 1493134316897 379 627 mouseup //*[@id='rso']/div[3]/div/div[1]/div/h3/a {} {"topRight":1010,"topLeft":664,"bottomRight":870,"bottomLeft":421,"middle":673,"inTarget":false}
0 1493134316899 379 627 click //*[@id='rso']/div[3]/div/div[1]/div/h3/a {} {"topRight":1010,"topLeft":664,"bottomRight":870,"bottomLeft":421,"middle":673,"inTarget":false}
0 1493134316900 0 0 beforeunload / {} {}
0 1493134317051 380 627 mousemove //*[@id='rso']/div[3]/div/div[1]/div/h3/a {} {"topRight":1009,"topLeft":663,"bottomRight":869,"bottomLeft":420,"middle":672,"inTarget":false}
0 1493134317098 0 0 unload / {} {}
